f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
c0,c1,c0,c5,36,1,c0,c0,c2,899.1,4991.6,c1,65.8189,-30.64,-1.7,0.5388,c1,25,0,c7
c4,c1,c0,c6,29,2,c0,c2,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9772,c1,332,0,c5
c7,c1,c0,c3,55,1,c0,c1,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9142,c1,133,0,c4
c0,c0,c0,c6,24,1,c0,c2,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9778,c1,134,0,c6
c0,c0,c0,c6,29,1,c0,c4,c2,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9783999999999997,c1,268,0,c7
c0,c1,c0,c6,29,1,c0,c0,c2,899.1,5228.1,c1,66.1255,-33.44,1.4,2.976,c1,359,0,c5
c0,c1,c0,c6,43,1,c0,c1,c1,899.1,5076.2,c1,65.07409999999999,-32.64,-2.9,0.7512,c1,30,0,c5
c0,c0,c0,c6,29,2,c0,c0,c2,10.8,4963.6,c0,66.2207,-39.6,-1.1,0.5861999999999999,c0,123,2,c9
c1,c1,c0,c3,28,1,c0,c3,c2,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.8898,c1,771,0,c3
c4,c1,c0,c3,32,2,c0,c0,c2,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9148,c1,326,0,c4
c7,c0,c0,c5,25,1,c0,c3,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9778,c1,384,0,c6
c9,c0,c0,c5,25,3,c0,c3,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9778,c1,71,0,c6
c2,c1,c0,c6,56,1,c1,c0,c0,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9766,c1,311,0,c5
c7,c0,c0,c6,30,1,c0,c0,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.5145999999999997,c1,135,0,c10
c1,c1,c0,c1,40,1,c0,c1,c1,899.1,4991.6,c1,65.8385,-31.84,-1.7,0.4212,c1,5,0,c5
c1,c1,c2,c0,43,8,c0,c4,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9154,c1,42,0,c4
c1,c0,c0,c6,38,1,c0,c2,c2,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,176,0,c6
c6,c1,c2,c2,48,2,c0,c3,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9766,c1,461,0,c5
c1,c0,c0,c3,49,2,c0,c2,c0,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7686,c1,204,0,c4
c1,c1,c0,c0,43,2,c0,c4,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9142,c1,469,0,c4
c9,c1,c0,c5,42,3,c1,c0,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.5145999999999997,c1,215,0,c10
c1,c1,c0,c1,32,2,c0,c2,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9142,c1,245,0,c4
c1,c1,c0,c1,39,2,c1,c2,c1,5.4,5195.8,c1,65.24,-33.6,-0.1,2.472,c2,214,1,c10
c1,c0,c2,c3,49,2,c1,c2,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7686,c1,65,0,c4
c9,c1,c0,c5,45,3,c0,c2,c0,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9772,c1,37,0,c5
c9,c0,c0,c5,27,2,c0,c0,c2,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,331,0,c6
c0,c0,c0,c6,50,1,c1,c0,c0,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7584,c1,644,0,c4
c1,c0,c0,c1,43,3,c1,c4,c1,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.7878000000000001,c1,67,0,c4
c0,c0,c0,c2,31,3,c0,c0,c2,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,221,0,c6
c3,c0,c0,c0,55,7,c0,c2,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9741999999999997,c1,141,0,c6
c4,c1,c0,c6,49,1,c0,c0,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9148,c1,27,0,c4
c1,c0,c0,c0,50,5,c0,c0,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9778,c1,193,0,c7
c10,c0,c0,c3,41,1,c1,c2,c1,5.4,4963.6,c1,65.93929999999999,-30.0,-1.1,0.5274,c2,175,1,c8
c5,c0,c2,c2,47,1,c1,c0,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9789999999999996,c1,97,0,c7
c9,c0,c0,c6,43,9,c0,c4,c1,899.1,5195.8,c0,65.24,-33.6,-0.1,2.4126,c1,24,0,c10
c0,c0,c0,c6,48,2,c0,c0,c2,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9789999999999996,c1,110,0,c7
c3,c1,c0,c1,57,1,c0,c3,c0,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9796,c1,51,0,c6
c2,c1,c0,c6,35,1,c0,c1,c0,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9142,c1,124,0,c4
c4,c0,c0,c3,41,2,c0,c0,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7464,c1,180,0,c4
c1,c0,c0,c2,30,3,c0,c0,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,171,0,c6
c1,c0,c0,c2,58,1,c0,c1,c1,899.1,5195.8,c0,65.24,-33.6,-0.1,2.4918,c0,64,1,c10
c9,c0,c0,c5,24,2,c2,c2,c2,899.1,5099.1,c2,65.02509999999998,-36.96,-1.8,0.762,c1,311,0,c4
c3,c0,c0,c2,51,1,c0,c1,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9766,c1,681,0,c6
c0,c0,c0,c6,34,2,c0,c0,c2,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9789999999999996,c1,72,0,c7
c2,c1,c0,c6,43,4,c1,c2,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9142,c1,363,0,c4
c7,c0,c2,c3,29,2,c2,c2,c1,899.1,5099.1,c2,65.02509999999998,-36.96,-1.8,0.8004,c1,141,0,c4
c7,c1,c0,c5,42,1,c0,c4,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9183999999999997,c1,149,0,c4
c1,c0,c0,c2,36,3,c0,c1,c1,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.8064,c0,253,1,c4
c0,c0,c0,c6,32,1,c0,c3,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9748,c1,96,0,c6
c1,c1,c2,c2,36,1,c0,c1,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9183999999999997,c1,226,0,c5
c7,c1,c0,c3,57,3,c0,c2,c0,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9148,c1,72,0,c4
c7,c0,c0,c3,28,1,c0,c2,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9741999999999997,c1,359,0,c6
c0,c0,c0,c3,47,1,c0,c0,c0,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.976,c1,532,0,c6
c0,c0,c0,c6,29,2,c0,c0,c2,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9789999999999996,c1,122,0,c7
c0,c0,c0,c6,43,3,c0,c2,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9783999999999997,c1,115,0,c7
c7,c1,c0,c3,40,21,c1,c0,c2,899.1,5228.1,c1,66.1255,-33.44,1.4,2.976,c1,20,0,c5
c7,c0,c0,c5,43,6,c0,c0,c0,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.7794000000000001,c0,108,1,c4
c5,c1,c0,c0,57,1,c0,c1,c3,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9142,c1,673,0,c4
c9,c0,c0,c3,59,5,c0,c0,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9789999999999996,c1,226,0,c7
c5,c0,c2,c6,58,11,c0,c3,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9772,c1,17,0,c7
c7,c0,c0,c3,27,4,c1,c1,c1,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.7746,c1,416,0,c4
c9,c1,c0,c5,26,1,c0,c4,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9183999999999997,c1,59,0,c4
c1,c0,c0,c2,36,2,c0,c0,c2,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,31,0,c6
c3,c1,c2,c3,38,1,c0,c0,c0,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9142,c1,204,0,c4
c1,c1,c0,c5,46,3,c0,c0,c1,899.1,5076.2,c0,64.5407,-25.12,-2.9,0.5304,c0,151,1,c7
c1,c0,c0,c0,47,1,c0,c1,c0,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.8064,c1,227,0,c4
c1,c1,c0,c2,45,1,c0,c4,c0,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9183999999999997,c1,171,0,c4
c0,c0,c0,c3,47,3,c0,c0,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9789999999999996,c1,1152,0,c7
c9,c1,c2,c5,36,3,c0,c4,c2,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9130000000000003,c1,180,0,c4
c1,c0,c0,c2,35,1,c0,c1,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.8538,c1,855,0,c3
c0,c0,c0,c2,29,1,c0,c3,c2,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9748,c1,504,0,c6
c9,c1,c0,c5,32,1,c0,c2,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9154,c1,546,0,c4
c7,c0,c0,c5,44,2,c0,c0,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9819999999999998,c1,186,0,c7
c0,c0,c0,c6,28,1,c0,c4,c2,899.1,5076.2,c0,64.5407,-25.12,-2.9,0.5286,c1,70,0,c7
c0,c1,c0,c3,48,2,c1,c1,c0,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9135999999999997,c1,284,0,c4
c1,c0,c0,c3,33,10,c0,c1,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7746,c0,787,1,c4
c1,c0,c0,c2,43,1,c0,c1,c0,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9772,c1,82,0,c6
c1,c0,c0,c2,42,1,c0,c1,c1,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.8064,c0,80,1,c4
c9,c0,c0,c5,34,6,c0,c0,c2,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7794000000000001,c1,240,0,c4
c1,c0,c0,c2,50,1,c0,c0,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.843,c1,567,0,c3
c7,c0,c0,c3,27,3,c0,c3,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9778,c1,184,0,c6
c1,c0,c0,c7,36,1,c1,c3,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.846,c0,90,1,c3
c10,c0,c0,c0,33,1,c0,c0,c1,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.7464,c0,1008,1,c4
c0,c0,c0,c3,38,1,c0,c2,c0,899.1,5076.2,c1,65.07409999999999,-32.64,-2.9,0.756,c0,1361,1,c5
c1,c1,c2,c2,26,14,c1,c4,c2,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9753999999999996,c1,175,0,c5
c10,c0,c0,c6,34,2,c0,c1,c2,899.1,4991.6,c1,65.8385,-31.84,-1.7,0.4565999999999999,c1,167,0,c5
c1,c1,c0,c5,57,1,c0,c2,c0,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9154,c1,106,0,c4
c0,c0,c2,c3,39,2,c0,c0,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,367,0,c6
c0,c0,c0,c6,34,2,c0,c2,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9783999999999997,c1,126,0,c7
c3,c0,c2,c0,56,1,c0,c1,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9766,c1,76,0,c6
c9,c0,c0,c5,38,4,c0,c3,c2,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7595999999999999,c1,306,0,c4
c9,c0,c0,c5,46,4,c1,c4,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.4126,c1,484,0,c10
c4,c0,c0,c1,43,1,c0,c2,c1,899.1,5099.1,c0,65.1525,-37.68,-1.8,0.849,c0,945,1,c3
c9,c1,c0,c6,49,1,c0,c3,c0,899.1,5195.8,c1,65.24,-33.6,-0.1,2.4456,c1,30,0,c10
c7,c0,c2,c2,50,2,c0,c0,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9778,c1,113,0,c7
c4,c0,c0,c6,32,3,c0,c2,c2,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9778,c1,675,0,c6
c7,c0,c2,c3,45,2,c0,c2,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9783999999999997,c1,100,0,c7
c7,c0,c0,c3,31,5,c0,c3,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9808,c1,34,0,c6
c9,c0,c0,c5,28,1,c0,c3,c2,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.8898,c0,824,2,c3
c9,c0,c0,c2,42,4,c0,c0,c1,899.1,5099.1,c0,65.1525,-37.68,-1.8,0.8795999999999999,c1,441,0,c3
c9,c0,c2,c6,30,1,c0,c1,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,305,0,c6
c8,c0,c0,c7,19,1,c0,c0,c2,899.1,5017.5,c1,64.8543,-24.080000000000002,-3.4,0.42840000000000006,c0,380,1,c10
c7,c1,c0,c3,39,1,c1,c0,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9766,c1,149,0,c5
c1,c1,c2,c0,58,1,c1,c4,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9183999999999997,c1,422,0,c4
c7,c0,c0,c3,50,1,c1,c4,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.75,c1,44,0,c4
c0,c0,c2,c1,39,1,c0,c2,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9778,c1,1176,0,c6
c4,c1,c0,c6,30,2,c0,c2,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9778,c1,90,0,c6
c0,c0,c0,c6,30,2,c0,c3,c1,3.6,5076.2,c1,65.07409999999999,-32.64,-2.9,0.756,c2,96,1,c5
c0,c0,c0,c3,33,1,c0,c2,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.472,c1,323,0,c10
c1,c0,c0,c0,42,1,c0,c1,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7746,c1,439,0,c4
c9,c1,c0,c5,29,1,c0,c0,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9148,c1,35,0,c4
c11,c1,c2,c7,45,1,c0,c2,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9753999999999996,c1,113,0,c5
c4,c0,c0,c6,54,1,c0,c2,c1,899.1,5076.2,c1,65.07409999999999,-32.64,-2.9,0.756,c1,42,0,c5
c8,c0,c0,c7,30,1,c0,c2,c2,3.6,5023.5,c0,64.89909999999999,-26.400000000000002,-3.0,0.429,c2,343,2,c11
c1,c1,c2,c2,39,1,c0,c0,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.919,c1,389,0,c5
c7,c0,c2,c1,33,3,c0,c2,c2,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.7686,c1,74,0,c4
c0,c0,c0,c6,35,1,c0,c2,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.472,c1,820,0,c10
c9,c0,c0,c7,36,1,c0,c1,c2,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,393,0,c6
c9,c1,c0,c5,36,2,c0,c3,c0,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9130000000000003,c1,223,0,c4
c9,c1,c2,c5,58,2,c0,c2,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9148,c1,113,0,c4
c4,c1,c2,c0,47,22,c0,c0,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9148,c1,99,0,c4
c0,c1,c0,c6,56,1,c0,c2,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9183999999999997,c1,79,0,c5
c9,c0,c0,c6,47,3,c0,c4,c0,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.75,c0,306,1,c4
c1,c1,c0,c0,41,1,c0,c0,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9142,c1,211,0,c4
c4,c0,c0,c6,32,2,c0,c2,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7686,c1,129,0,c4
c4,c0,c0,c6,31,3,c0,c3,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9808,c1,166,0,c6
c9,c0,c0,c5,40,1,c1,c2,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9772,c1,323,0,c6
c4,c0,c0,c6,37,3,c0,c1,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9766,c1,188,0,c6
c8,c0,c0,c2,24,1,c2,c1,c2,899.1,5017.5,c2,64.66529999999999,-23.840000000000003,-3.4,0.47279999999999994,c1,137,0,c8
c0,c0,c0,c6,34,1,c2,c4,c1,899.1,5195.8,c2,65.24,-33.6,-0.1,2.4126,c1,253,0,c10
c7,c1,c0,c3,32,2,c0,c0,c2,899.1,5228.1,c0,66.1255,-33.44,1.4,2.976,c1,223,0,c5
c1,c1,c0,c1,53,3,c0,c2,c0,899.1,5195.8,c1,65.24,-33.6,-0.1,2.472,c1,95,0,c10
c0,c0,c0,c6,33,3,c0,c3,c2,899.1,5195.8,c0,65.24,-33.6,-0.1,2.4456,c1,117,0,c10
c9,c0,c0,c5,34,5,c0,c2,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9772,c1,144,0,c6
c11,c0,c2,c7,46,1,c0,c0,c2,5.4,5023.5,c1,64.89909999999999,-26.400000000000002,-3.0,0.4236,c2,1472,1,c11
c9,c1,c0,c6,33,1,c0,c2,c2,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.7686,c0,32,1,c4
c8,c0,c0,c7,32,2,c1,c0,c2,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.8124,c1,77,0,c4
c6,c0,c0,c6,40,1,c0,c3,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.861,c0,236,1,c3
c7,c0,c0,c3,30,1,c0,c3,c2,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7961999999999999,c1,189,0,c4
c7,c1,c0,c5,32,7,c0,c3,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.916,c1,103,0,c4
c9,c0,c0,c5,32,1,c0,c2,c2,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9801999999999995,c1,103,0,c7
c1,c0,c0,c2,48,3,c1,c0,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9772,c1,60,0,c6
c0,c0,c0,c6,48,2,c0,c4,c2,2.7,4991.6,c1,65.9505,-32.24,-1.7,0.474,c2,194,1,c6
c2,c0,c0,c5,43,1,c0,c1,c1,899.1,5195.8,c0,65.24,-33.6,-0.1,2.4918,c1,63,0,c10
c9,c1,c2,c5,46,3,c0,c4,c0,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9753999999999996,c1,365,0,c5
c0,c0,c0,c5,60,1,c0,c3,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.819,c1,571,0,c3
c4,c0,c0,c6,55,2,c0,c0,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7794000000000001,c1,126,0,c4
c9,c1,c0,c5,30,4,c0,c3,c2,899.1,5191.0,c1,65.7958,-29.12,1.1,2.916,c1,245,0,c4
c0,c0,c0,c2,45,2,c1,c1,c2,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.8538,c0,119,1,c3
c1,c1,c2,c1,37,1,c0,c3,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9796,c1,95,0,c6
c1,c0,c0,c3,34,1,c0,c2,c2,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.7686,c1,103,0,c4
c9,c1,c2,c5,54,3,c0,c0,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.919,c1,52,0,c5
c9,c0,c0,c6,46,3,c0,c4,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9796,c1,74,0,c7
c9,c0,c0,c5,51,1,c1,c4,c1,899.1,5017.5,c0,64.66529999999999,-23.840000000000003,-3.4,0.48179999999999995,c1,520,0,c8
c1,c0,c0,c2,31,1,c0,c3,c2,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.7595999999999999,c0,59,1,c4
c0,c1,c0,c6,34,2,c0,c4,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9183999999999997,c1,83,0,c4
c4,c1,c0,c3,43,1,c0,c1,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9183999999999997,c1,583,0,c5
c1,c0,c0,c0,32,3,c0,c3,c1,899.1,5017.5,c0,64.8543,-24.080000000000002,-3.4,0.4296,c0,96,1,c10
c1,c0,c0,c5,35,2,c0,c2,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9778,c1,218,0,c6
c8,c0,c0,c7,27,1,c0,c3,c2,899.1,5008.7,c1,65.62429999999999,-27.680000000000003,-1.8,0.381,c0,176,1,c3
c0,c0,c0,c6,34,1,c0,c2,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7686,c1,135,0,c4
c6,c1,c2,c3,40,1,c0,c4,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9142,c1,83,0,c4
c1,c0,c0,c0,57,3,c0,c2,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9783999999999997,c1,430,0,c7
c9,c0,c0,c5,41,3,c0,c0,c0,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9819999999999998,c1,182,0,c7
c0,c1,c0,c0,26,6,c1,c1,c2,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9766,c1,68,0,c5
c9,c0,c0,c5,31,1,c0,c1,c1,899.1,5228.1,c0,65.4108,-28.880000000000003,1.4,2.9778,c1,298,0,c7
c6,c0,c0,c6,48,4,c0,c4,c0,899.1,4991.6,c0,65.8189,-30.64,-1.7,0.5388,c1,222,0,c7
c0,c0,c2,c7,45,2,c0,c3,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9772,c1,418,0,c6
c9,c1,c2,c5,44,1,c0,c3,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9130000000000003,c1,203,0,c4
c4,c0,c0,c3,56,2,c0,c4,c1,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9778,c1,131,0,c6
c0,c0,c0,c6,29,1,c0,c2,c2,899.1,5008.7,c1,65.7132,-32.0,-1.8,0.4032,c0,232,1,c4
c1,c1,c2,c3,46,3,c0,c4,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9801999999999995,c1,116,0,c5
c1,c1,c0,c0,31,3,c0,c4,c2,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9753999999999996,c1,110,0,c5
c1,c1,c0,c0,43,1,c0,c2,c1,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9753999999999996,c1,363,0,c5
c1,c0,c0,c2,40,2,c0,c0,c1,899.1,5195.8,c1,65.24,-33.6,-0.1,2.5145999999999997,c1,111,0,c10
c0,c0,c2,c5,55,4,c0,c0,c0,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9772,c1,68,0,c6
c0,c0,c0,c3,49,1,c0,c1,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9766,c1,443,0,c6
c1,c1,c0,c2,31,1,c0,c3,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9130000000000003,c1,362,0,c4
c9,c1,c0,c5,35,2,c0,c3,c0,899.1,5228.1,c1,66.1255,-33.44,1.4,2.9748,c1,312,0,c5
c5,c1,c2,c0,60,2,c0,c3,c0,899.1,5228.1,c1,66.1255,-33.44,1.4,2.973,c1,45,0,c5
c7,c1,c2,c3,39,2,c0,c1,c1,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9142,c1,326,0,c4
c6,c0,c0,c6,33,3,c0,c1,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9778,c1,173,0,c7
c0,c0,c0,c3,37,3,c0,c0,c1,2.7,5017.5,c1,64.8543,-24.080000000000002,-3.4,0.4332,c2,101,1,c10
c2,c1,c0,c2,43,1,c0,c1,c1,899.1,5228.1,c0,66.1255,-33.44,1.4,2.9183999999999997,c1,301,0,c5
c1,c0,c2,c1,40,1,c0,c4,c1,899.1,5099.1,c0,65.02509999999998,-36.96,-1.8,0.7878000000000001,c0,171,1,c4
c0,c0,c2,c6,32,4,c0,c1,c1,899.1,5228.1,c1,65.4108,-28.880000000000003,1.4,2.9796,c1,134,0,c7
c9,c1,c0,c7,44,3,c0,c1,c0,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9766,c1,222,0,c6
c9,c1,c0,c2,34,1,c0,c3,c2,899.1,4991.6,c0,65.9505,-32.24,-1.7,0.5304,c0,23,1,c6
c9,c0,c0,c5,37,2,c0,c4,c1,899.1,5099.1,c0,65.1525,-37.68,-1.8,0.843,c1,292,0,c3
c1,c0,c0,c2,36,1,c0,c0,c1,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.976,c1,853,0,c6
c8,c0,c0,c3,21,2,c0,c1,c2,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7595999999999999,c1,226,0,c4
c9,c1,c0,c5,32,1,c1,c3,c2,899.1,5228.1,c0,65.7426,-34.160000000000004,1.4,2.9808,c1,181,0,c6
c0,c1,c0,c3,30,4,c0,c0,c1,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9142,c1,434,0,c4
c0,c1,c2,c7,42,3,c1,c2,c2,899.1,5191.0,c1,65.7958,-29.12,1.1,2.9148,c1,303,0,c4
c4,c1,c0,c6,52,2,c0,c4,c0,899.1,5191.0,c0,65.7958,-29.12,1.1,2.9154,c1,355,0,c4
c0,c0,c0,c6,43,1,c1,c1,c1,899.1,5076.2,c0,65.07409999999999,-32.64,-2.9,0.7572,c1,310,0,c5
c1,c1,c0,c1,41,1,c2,c1,c1,899.1,5228.1,c2,66.1255,-33.44,1.4,2.9183999999999997,c1,202,0,c5
c7,c1,c0,c2,24,4,c0,c2,c2,899.1,5228.1,c1,65.7426,-34.160000000000004,1.4,2.9778,c1,163,0,c6
c0,c0,c0,c5,60,1,c0,c3,c1,899.1,5099.1,c1,65.1525,-37.68,-1.8,0.819,c1,108,0,c3
c1,c0,c0,c2,41,1,c0,c2,c1,899.1,5099.1,c1,65.02509999999998,-36.96,-1.8,0.7686,c0,364,1,c4
c0,c0,c0,c3,29,2,c0,c1,c1,11.700000000000001,4991.6,c1,65.8385,-31.84,-1.7,0.43379999999999996,c2,379,1,c5
